Название услуги,Ориентировочная стоимость,Срок исполнения (дни),Размер предоплаты
Разработка нативного Android приложения для образовательной платформы,23884.63,194,9170.79
Оказание технической поддержки первой линии для малого и среднего бизнеса,705.45,7,358.99
Оптимизация рабочих потоков для медицинской организации,15601.62,218,6505.21
Разработка API в сфере E-commerce,19470.6,282,8378.75
Проведение пенетрационного тестирования (пентеста) для логистической компании,17018.61,46,2957.04
Настройка межсетевых экранов и систем обнаружения вторжений для внутреннего использования,10194.18,115,2305.63
Разработка нативного iOS приложения на основе анализа требований,62684.88,252,18572.45
Базовая IT-поддержка пользователей с учетом масштабируемости,3207.54,25,559.3
Аутсорсинг функций IT-менеджмента в сфере E-commerce,4144.32,140,579.74
Оценка зрелости IT-инфраструктуры для малого и среднего бизнеса,16561.06,22,6996.84
Прикладная статистика для бизнеса с расширенным функционалом,13589.13,64,3681.4
Разработка серверной части веб-приложения для стартапа,26375.74,313,5420.94
Аутсорсинг функций IT-менеджмента с учетом масштабируемости,4075.8,45,2420.13
Разработка высококачественной графики на Unreal Engine для конечных пользователей,58713.79,445,10227.3
Создание облачной платформы для IoT для образовательной платформы,19779.67,248,7475.99
Разработка аналитических моделей для Big Data для конечных пользователей,27357.6,480,10561.08
Разработка тестовых сценариев и фреймворков с расширенным функционалом,6833.88,22,3688.81
Разработка смарт-контрактов на Solidity с расширенным функционалом,96398.57,160,56054.92
Создание облачной платформы для IoT для финансового сектора,24155.03,210,13859.53
Аутсорсинг функций IT-менеджмента для образовательной платформы,21819.34,82,9191.09
Разработка sentiment analysis моделей в сфере E-commerce,45068.21,493,14270.77
Создание логики децентрализованных приложений на блокчейне для стартапа,78895.83,97,19866.38
Миграция данных в SQL базы для стартапа,17283.84,119,5069.16
Проведение пенетрационного тестирования (пентеста) для конечных пользователей,8191.32,129,3448.19
Разработка Flutter приложения с нуля с применением облачных технологий,49038.83,147,14081.05
Разработка масштабируемой E-commerce платформы для финансового сектора,54117.4,167,24414.52
Внедрение комплексных систем безопасности для медицинской организации,25319.3,110,11012.68
Проектирование UI с учетом масштабируемости,7757.6,14,2716.67
Создание кроссплатформенного приложения (React Native) с использованием микросервисной архитектуры,41505.29,284,9796.28
Разработка маркетплейса в сфере E-commerce,26946.23,592,4357.28
Автоматизация DevOps процессов для стартапа,20444.07,69,4988.32
Создание интерфейсов взаимодействия для крупной корпорации,34720.33,68,11928.61
Построение BI-систем и аналитики для логистической компании,10648.2,112,3736.03
Разработка sentiment analysis моделей для малого и среднего бизнеса,21208.79,416,8507.84
Разработка игр на Unreal Engine для крупной корпорации,18459.91,513,8383.44
Проектирование взаимодействия пользователя на основе анализа требований,10636.18,64,1105.04
Разработка смарт-контрактов на Solidity с использованием микросервисной архитектуры,65204.6,132,8366.11
Управление IT-проектами по методологиям Agile/Waterfall в сфере E-commerce,20859.24,90,11289.08
Обслуживание серверов и сетевого оборудования с использованием микросервисной архитектуры,2393.82,34,274.15
Экспертная IT-поддержка и решение инцидентов для внутреннего использования,6629.64,41,961.89
Оказание технической поддержки второй и третьей линии с использованием микросервисной архитектуры,4812.8,31,2486.99
Экспертная IT-поддержка и решение инцидентов для медицинской организации,7748.78,25,936.55
Проведение статистического анализа данных для медицинской организации,6354.57,62,2065.35
Разработка высококачественной графики на Unreal Engine для малого и среднего бизнеса,57625.96,493,13989.38
Оценка зрелости IT-инфраструктуры для финансового сектора,5075.13,60,1256.29
Создание логики децентрализованных приложений на блокчейне в сфере E-commerce,57432.95,259,12475.0
Проведение ручного тестирования ПО для логистической компании,3815.01,21,1296.13
Автоматизация DevOps процессов для финансового сектора,7420.7,143,2990.22
Тестирование на проникновение с учетом масштабируемости,19362.55,176,10578.3
Внедрение AmoCRM на основе анализа требований,59815.04,151,12421.06
Миграция в GCP для логистической компании,32374.32,75,9162.94
Создание облачной платформы для IoT для финансового сектора,36191.09,216,6907.84
Разработка Flutter приложения с нуля для образовательной платформы,55398.95,363,28630.65
Предоставление команды IT-специалистов с расширенным функционалом,48578.53,238,24704.87
Программирование встраиваемых систем для IoT для образовательной платформы,43279.79,49,16103.55
Разработка API для логистической компании,33453.35,220,7742.03
